time_mandante,time_visitante,proporcao_sucesso_mandante,proporcao_sucesso_visitante,gols_mandante,gols_visitante
Schalke 04,Fenerbahce,2.04,1.69,2,0
Schalke 04,AC Milan,2.04,1.54,2,2
AFC Ajax,FC Thun,1.48,1.4,2,0
AFC Ajax,FC Internazionale,1.48,1.92,2,2
AFC Ajax,AC Sparta Praga,1.48,1.9,2,1
AFC Ajax,FC Arsenal,1.48,1.94,1,2
FC Internazionale,FC Villarreal,1.92,1.55,2,1
FC Internazionale,Rangers FC,1.92,1.85,1,0
FC Internazionale,FC Artmedia Bratislava,1.92,1.5,4,0
FC Internazionale,Futebol Clube do Porto,1.92,2.02,2,1
FC Internazionale,AFC Ajax,1.92,1.48,1,0
Real Madrid CF,FC Arsenal,2.01,1.94,0,1
Real Madrid CF,Rosenborg BK,2.01,1.45,4,1
Real Madrid CF,Olympiacos Pireu,2.01,1.53,2,1
Real Madrid CF,Olympique Lyon,2.01,1.71,1,1
Olympiacos Pireu,Rosenborg BK,1.53,1.45,1,3
Olympiacos Pireu,Olympique Lyon,1.53,1.71,1,4
Olympiacos Pireu,Real Madrid CF,1.53,2.01,2,1
Rangers FC,Futebol Clube do Porto,1.85,2.02,3,2
Rangers FC,FC Artmedia Bratislava,1.85,1.5,0,0
Rangers FC,FC Internazionale,1.85,1.92,1,1
Rangers FC,FC Villarreal,1.85,1.55,2,2
Real Bétis,Chelsea FC,1.69,1.68,1,0
Real Bétis,FC Liverpool,1.69,1.87,1,2
Real Bétis,RSC Anderlecht,1.69,1.74,0,1
FC Thun,AC Sparta Praga,1.4,1.9,1,0
FC Thun,AFC Ajax,1.4,1.48,2,4
FC Thun,FC Arsenal,1.4,1.94,0,1
Chelsea FC,FC Barcelona,1.68,2.14,1,2
Chelsea FC,RSC Anderlecht,1.68,1.74,1,0
Chelsea FC,FC Liverpool,1.68,1.87,0,0
Chelsea FC,Real Bétis,1.68,1.69,4,0
Futebol Clube do Porto,Rangers FC,2.02,1.85,1,1
Futebol Clube do Porto,FC Internazionale,2.02,1.92,2,0
Futebol Clube do Porto,FC Artmedia Bratislava,2.02,1.5,2,3
Juventus FC,FC Bayern Munique,1.85,1.93,2,1
Juventus FC,Rapid de Viena,1.85,1.72,3,0
Juventus FC,FC Arsenal,1.85,1.94,0,0
Juventus FC,Werder Bremen,1.85,1.72,2,1
Juventus FC,Club Brugge,1.85,1.69,1,0
FC Barcelona,Werder Bremen,2.14,1.72,2,0
FC Barcelona,Chelsea FC,2.14,1.68,2,2
FC Barcelona,Levski Sofia,2.14,1.29,5,0
FC Barcelona,FC Liverpool,2.14,1.87,1,2
Galatasaray,FCG Bordeaux,1.61,2.08,0,0
Galatasaray,PSV Eindhoven,1.61,1.6,1,2
Galatasaray,FC Liverpool,1.61,1.87,3,2
Werder Bremen,Levski Sofia,1.72,1.29,2,0
Werder Bremen,Chelsea FC,1.72,1.68,1,0
Werder Bremen,FC Barcelona,1.72,2.14,1,1
PSV Eindhoven,Galatasaray,1.6,1.61,2,0
PSV Eindhoven,FC Liverpool,1.6,1.87,0,0
PSV Eindhoven,FC Arsenal,1.6,1.94,1,0
PSV Eindhoven,FC Liverpool,1.6,1.87,0,3
PSV Eindhoven,FCG Bordeaux,1.6,2.08,1,3
Hamburger SV,CSKA Moscovo,1.88,1.7,3,2
Hamburger SV,FC Arsenal,1.88,1.94,1,2
Hamburger SV,Futebol Clube do Porto,1.88,2.02,1,3
Shakhtar Donetsk,Valência CF,,1.41,2,2
Shakhtar Donetsk,AS Roma,,2.07,1,0
Shakhtar Donetsk,Olympiacos Pireu,,1.53,2,2
FCG Bordeaux,FC Liverpool,2.08,1.87,0,1
FCG Bordeaux,PSV Eindhoven,2.08,1.6,0,1
FCG Bordeaux,Galatasaray,2.08,1.61,3,1
RSC Anderlecht,AC Milan,1.74,1.54,0,1
RSC Anderlecht,AEK Atenas,1.74,1.58,2,2
RSC Anderlecht,LOSC Lille,1.74,1.93,1,1
Manchester United FC,LOSC Lille,2.09,1.93,1,0
Manchester United FC,Celtic FC,2.09,1.77,3,2
Manchester United FC,Sport Lisboa e Benfica,2.09,1.92,3,1
Manchester United FC,FC Copenhagen,2.09,1.92,3,0
Manchester United FC,AC Milan,2.09,1.54,3,2
Manchester United FC,AS Roma,2.09,2.07,7,1
Olympique Lyon,AS Roma,1.71,2.07,0,2
Olympique Lyon,Steaua Bukarest,1.71,1.55,1,1
Olympique Lyon,Dínamo Kiev,1.71,1.93,1,0
Olympique Lyon,Real Madrid CF,1.71,2.01,2,0
FC Arsenal,CSKA Moscovo,1.94,1.7,0,0
FC Arsenal,Hamburger SV,1.94,1.88,3,1
FC Arsenal,PSV Eindhoven,1.94,1.6,1,1
FC Arsenal,Futebol Clube do Porto,1.94,2.02,2,0
FC Liverpool,PSV Eindhoven,1.87,1.6,1,0
FC Liverpool,Galatasaray,1.87,1.61,3,2
FC Liverpool,PSV Eindhoven,1.87,1.6,2,0
FC Liverpool,AC Milan,1.87,1.54,1,2
FC Liverpool,FC Barcelona,1.87,2.14,0,1
FC Liverpool,Chelsea FC,1.87,1.68,4,1
FC Liverpool,FCG Bordeaux,1.87,2.08,3,0
LOSC Lille,RSC Anderlecht,1.93,1.74,2,2
LOSC Lille,AC Milan,1.93,1.54,0,0
LOSC Lille,AEK Atenas,1.93,1.58,3,1
LOSC Lille,Manchester United FC,1.93,2.09,0,1
Sport Lisboa e Benfica,Celtic FC,1.92,1.77,3,0
Sport Lisboa e Benfica,FC Copenhagen,1.92,1.92,3,1
Sport Lisboa e Benfica,Manchester United FC,1.92,2.09,0,1
Valência CF,Chelsea FC,1.41,1.68,1,2
Valência CF,FC Internazionale,1.41,1.92,0,0
Valência CF,AS Roma,1.41,2.07,2,1
Valência CF,Shakhtar Donetsk,1.41,,2,0
Valência CF,Olympiacos Pireu,1.41,1.53,2,0
Sporting CP,FC Internazionale,2.24,1.92,1,0
Sporting CP,Spartak Moskovo,2.24,1.48,1,3
Sporting CP,FC Bayern Munique,2.24,1.93,0,1
AC Milan,Celtic FC,1.54,1.77,1,0
AC Milan,RSC Anderlecht,1.54,1.74,4,1
AC Milan,AEK Atenas,1.54,1.58,3,0
AC Milan,FC Bayern Munique,1.54,1.93,2,2
AC Milan,Manchester United FC,1.54,2.09,3,0
AC Milan,LOSC Lille,1.54,1.93,0,2
FC Bayern Munique,FC Internazionale,1.93,1.92,1,1
FC Bayern Munique,Sporting CP,1.93,2.24,0,0
FC Bayern Munique,AC Milan,1.93,1.54,0,2
FC Bayern Munique,Real Madrid CF,1.93,2.01,2,1
FC Bayern Munique,Spartak Moskovo,1.93,1.48,4,0
FC Copenhagen,Manchester United FC,1.92,2.09,1,0
FC Copenhagen,Sport Lisboa e Benfica,1.92,1.92,0,0
FC Copenhagen,Celtic FC,1.92,1.77,3,1
AS Roma,Olympiacos Pireu,2.07,1.53,1,1
AS Roma,Shakhtar Donetsk,2.07,,4,0
AS Roma,Olympique Lyon,2.07,1.71,0,0
AS Roma,Manchester United FC,2.07,2.09,2,1
AS Roma,Valência CF,2.07,1.41,1,0
Dínamo Kiev,Real Madrid CF,1.93,2.01,2,2
Dínamo Kiev,Steaua Bukarest,1.93,1.55,1,4
Dínamo Kiev,Olympique Lyon,1.93,1.71,0,3
Levski Sofia,Werder Bremen,1.29,1.72,0,3
Levski Sofia,FC Barcelona,1.29,2.14,0,2
